text,label
كنت عايزة اسأل عن حاجة,X X X X X
بدي اسألك بشي شغلة,X X X X
امتى هيوصل الأوردر من فضلك,X X X X X
ممكن اطلب حاجة,X X X
من فضلك عايز وجبة ماك راب,X X X ItemName ItemName ItemName
فيك تغير لي عنواني المسجل,X X X X X
ابي ضيف عنوان البيت,X X X X
يس,X
الاوردر مجاش لحد دلوقتى ايه المشكله,X X X X X X
فاضل قد ايه على الطلبات,X X X X X
ابغى عدل عنوان البيت,X X X X
عايزة ارجع للقائمة الرئيسية,X X X X
ابي حدث العنوان حجي,X X X X
عاوز اعرف الاوردر بيوصل في قد ايه,X X X X X X X
لو سمحت عايزهم حجم وسط,X X X X ItemSize
هاخد مكرونة عليها بروكلي,X ItemName Include Topping_Include
اذا فيك تفرجيني اوردري المفضل,X X X X X
ابغى اسوي تعديل بالعنوان حجي,X X X X X
انا بدي انتقل للمرحلة التالية,X X X X X
طلب رقم 15614 فاضله قد ايه,X X OrderNumber X X X
ابعتلي الطلبات السابقة,X X X
محتاجة اسأل على حاجة,X X X X
مازلت ناطر الاوردر,X X X
حابب اتحدث انجليزي,X X Language
من فضلك حدثلى رقم الهاتف الخلوى للرقم 9775759854,X X X X X X X phone
الساعه كام,X X
بدي تابع باللغة الانجليزية اذا بتريد,X X X Language X X
ما هي خطواط اضافة عنوان المنزل,X X X X X X
كيف ما اصبحت,X X X
بغيت اضيف جوال جديد,X X X X
خليني انتقل لقائمة تغيير البيانات,X X X X X
ماعليش نسقسيك,X X
حلقات بصل مقلية مع شيدر صوص لو سمحت,ItemName ItemName ItemName Include Topping_Include Topping_Include X X
كيف احل المشكله,X X X
قديش فاضل وقت على الاوردر,X X X X X
ابعتلي قائمة الطعام المفضل,X X X X
حياك الله,X X
عاوز اشوف البيتزا الموجودة,X X MenuName X
داير اختار اللغة الانجليزية,X X X Language
بس بدي عدل العنون بليز,X X X X X
ابا شوف المنيو,X X X
فرجيني اوردري المفضل,X X X
ابغى اشوف الطلبات السابقى حقي,X X X X X
بدي اتحدث مع ممثل خدمة عملاء اذا بتريد,X X X X X X X X
لدي عنوان يديد,X X X
غيرلى رقم الهاتف الجوال ل 0154328655,X X X X X phone
عايز فطيرة مكس جبن,X ItemName ItemName ItemName
عايز ارجع للقائمة الرئيسية,X X X X
صار لي ساعه طالبه وللحين الطلب ما انرسل,X X X X X X X X
عطيني المفضلة من فضلك,X X X X
سوف اقوم بتبديل رقم المحمول,X X X X X
عايز اشيل عنوان بيتي,X X X X
داير ع بالى اشوف اكلى المفضل,X X X X X X
من فضلك بدى وجبه تويست اكستريم ميل,X X X ItemName ItemName ItemName X
امتى هستلم الأوردر,X X X
بدي سوي اوردر و ماني عارفة,X X X X X X
خبرني شو موجود بمنيو الشوربة من فضلك,X X X X MenuName X X
فيك ترجعني للمنيو الرئيسي,X X X X
وقتاش بيوصل الأكل,X X X
فيك تغيرلي اللغة انجلش,X X X Language
2 ساندوتش لحمة صاج وزود تومية,itemnumber ItemName ItemName ItemSize Include Topping_Include
لو سمحت ينفع اضيف رقم ارضي,X X X X X X
بلكي غير عنواني,X X X
ايش عندكوا من حلويات,X X X MenuName
ابغى بدل العنوان,X X X
الحساب كام لو سمحت,X X X X
ممكن استفسر عن حاجة,X X X X
مش عارفة اعمل اوردر ازاي,X X X X X
اعرضلي قائمة تغيير البيانات,X X X X
عايز اطلب وجبة الجراند تشيكن,X X ItemName ItemName ItemName
ابا غير رقم الجوال,X X X X
اقدر اضيف العنوان,X X X
انا عاوز اشوف المنيو,X X X X
ممكن تطلعنى على قوائم مطعم حسنى,X X X X X X
فيك تورينى حسابى,X X X
ازاي بعمل الاوردر من فضلك,X X X X X
اعرض لي القائمة الرئيسية,X X X X
ابغى اشوف الطلبات المفضلة حقي,X X X X X
شو يلي جاي,X X X
اذا بتريد بدي مساعدة,X X X X
دلوقتي لو عايزة اضيف رقم موبايل اعمل ايه,X X X X X X X X
يعطيك العافية شنهو طريقة تغيير الجوال,X X X X X X
عايزة ابدل رقم تليقوني,X X X X
عايز اغير لغة التواصل,X X X X
كيف بسوي اوردر من فضلك,X X X X X
فيك تخبرني قديش باقي من الوقت تايوصل الأوردر,X X X X X X X X
بس بليز فيك تفرجيني المنيو,X X X X X
ابغى غير اللغة من فضلك,X X X X X
ابغى مساعدة,X X
شنو اهو ملخص الاوردر حقي,X X X X X
فيني اسألك عا شي,X X X X
سويلي حذف لهذا الرقم 65454454,X X X X phone
من فضلك ضيف واحدة هابي ميل,X X X X ItemName ItemName
عندكن شاورما,X ItemName
خليني اذهب الى قائمة تغيير البيانات,X X X X X X
وقتاش بيوصل الطلب,X X X
من فضلك عايز 2 هامبرجر مع سلطة خضراء,X X X itemnumber ItemName Include Topping_Include Topping_Include
فيني شوف المنيو اذا بتريد,X X X X X
شكو ماكو,X X
اقدر الغي وجبة الدويتو,X X ItemName ItemName
راح اطلب 2 فرخة مشوية,X X itemnumber ItemName ItemName
العاشر,X
فيكم تخبرونى هلا وينه اوردى رقم 30584,X X X X X X OrderNumber
عايزة الأكل الي طلبته قبل كدا,X X X X X X
بلغني بالحساب من فضلك,X X X X
بلكى بتغيرلى رقم الجوال حقى للرقم 01254215876,X X X X X X phone
بدي امسح محل الاقامة اذا بتريد,X X X X X X
وينه الاوردر 3058 الحين,X X OrderNumber X
حصلتلي مشكلة,X X
حطلي كمان 3 باكت بطاطس عليها كاتشب و مايونيز,X X itemnumber ItemName ItemName Include Topping_Include X X
لو سمحت تجاوب على سؤالي,X X X X X
منغير طماطم,Exclude Topping_Exclude
يعطيك العافية فيك تغيرلي رقم السيلولير,X X X X X X
ابعتلي منيو الوجبات العائلية في بيتزا هت,X X X X X X X
فيك تفرجيني المنيو بليز,X X X X
ابي ضيف العنوان دابا,X X X X
عايز اضيف فرخة مشوية من دون لمون,X X ItemName ItemName Exclude Exclude Topping_Exclude
لك قديش بياخد وقت,X X X X
ممكن الحساب دلوقتي,X X X
ممكن احذف العنوان لو سمحت,X X X X X
ممكن امسح العنوان,X X X
عايز انتقل للخطوة التالية لو سمحت,X X X X X X
عايز ازود وجبة ميجا ماك,X X ItemName ItemName ItemName
ممكن تعرفنى ازاى اغير رقم الفون القديم للرقم 01528476354,X X X X X X X X phone
وريني الطعام الي موجود,X X X X
عاوز اشوف الاوردرات القديمة,X X X X
بدي مساعدة بليز,X X X
خليني اتكلم مع حد من خدمة العملاء,X X X X X X X
فينا ننتقل للخطوة التالية,X X X X
عايز اشوف قائمه مطعم ألبان سويسرا,X X X X X X
زودني بالكارت حقي,X X X
طلبت من عندكم وابي الغي الطلب شلون,X X X X X X X
سكر الاوردر من فضلك,X X X X
عايزة اوردر 3 ساندوتشات شاورما وسط,X X itemnumber ItemName ItemName ItemSize
ابي الغي الطلب شلون,X X X X
عايزك تغيرلى اللغه,X X X
ممكن توريني منيو الفطار بتاع ماك,X X X X X X
عايز اتنقل للخطوة التالية,X X X X
امى عملالى ايه غدا النهارده,X X X X X
راح ضيف الوجبة العائلية,X X ItemName ItemName
ارغب في التحدث بالانجليزية,X X X Language
بدياك تفرجيني اوردراتي يلي طلبتها من قبل اذا بتريد,X X X X X X X X X
بلكي استفسر عن شي شغلة,X X X X X
وش سوي الان,X X X
ممكن اشوف المنيو,X X X
ابي ممثل خدمة عملا يا خيي,X X X X X X
بدي احاسب الحين,X X X
هاي بوت,X X
زودني بقائمة الطلبات السابقة,X X X X
ابغى ضيف بلاصة,X X X
حابب ابدل اللغه الى العربيه,X X X X Language
عايز الحساب,X X
وصل لوين الاوردر,X X X
فيك تفرجيني القائمة الرئيسية,X X X X
ممكن تراجع الطلبات,X X X
ابي اعرف كيف بسوي الاوردر,X X X X X
بدياه كبير,X ItemSize
فيني ضيف وجبة الماك دينار,X X ItemName ItemName ItemName
عايز اراجع على الاوردر من فضلك,X X X X X X
عاوز اشوف الاكل المعتاد,X X X X
داير شوف الطلبات مرة اخرى,X X X X X
عايزة اغير بياناتي المتسجلة,X X X X
الشيك حداي,X X
داير اعرف كيف بطلب هاي الاوردر,X X X X X X
اديني الحساب من فضلك,X X X X
كبيرة,ItemSize
داير شوف الطلبات السابقة,X X X X
عندي مشكلة في طلب الاوردر,X X X X X
متقولى ازاى اتكلم مع الخدمه,X X X X X
اعرض لي كدا كل الي طلبته,X X X X X X
بدي أكل,X X
هيوصل امتى الاوردر ده 47525,X X X X OrderNumber
كنت عايز اغير لغة التواصل,X X X X X
خلينا نتولصل باللغة الاسبانية,X X X Language
يلي بعد هيك,X X X
اذا بتريد تفرجيني الاشيا يلي طلبتها,X X X X X X
راح ضيف وجبة ليتل تيستي,X X ItemName ItemName ItemName
اريد ان اطلع على الكارت,X X X X X
حضرتك ازاي اغير رقم الموبايل,X X X X X
عايز اشوف طلباتي السابقة,X X X X
فرجيني منيو المشويات اذا بتريد,X X X X X
شوصارلك,X
اعرض لي الاكل الي بطلبوا دايمآ,X X X X X X
ممكن تزودلي وجبة الجراند تشيكن,X X ItemName ItemName ItemName
هاكل 2 برجر,X itemnumber ItemName
شو فينو الاوردر يا عمي,X X X X X
من فضلك ايه طريقة تغيير الموبايل,X X X X X X
هلأ بدي اتتبع الاوردر,X X X X
ممكن اضيف عنواني الجديد,X X X X
حولى اللغه بعد اذنك,X X X X
كنت عايز احط عنواني,X X X X
رز وفراخ مندي بالصوص الحار من فضلك,ItemName ItemName ItemName Topping_Include Topping_Include X X
ما جاني الاوردر,X X X
لو سمحت تعرض لي منيو الأطباق الرئيسية في ستيك اوت,X X X X X X X X X X
سويلي وجبة الجراند تشيكن اذا بتريد,X ItemName ItemName ItemName X X
عايزة اشوف طلبي المعتاد من فضلك,X X X X X X
لو سمحت اعرضلى الحاجات اللى انا طالبها من,X X X X X X X X
عايز اشوف منيو الفطار فى سانتوس,X X X X X X
عايز احذف وجبة الميجا ماك,X X ItemName ItemName ItemName
ايش اللى ما عم يظبط معى,X X X X X X
عايز اعرف الاوردر فاضله اد ايه,X X X X X X
هختار اللغة العربية,X X Language
ابغى اسوي تعديل بالعنوان حقي,X X X X X
فينى اعطيك عنواني الجديد,X X X X
اذا فيك تعرضلي الكارت تبعي,X X X X X
كان بدي اسأل عا شي,X X X X X
غل,X
خليني اغير عنواني المسجل,X X X X
بدياك تفرجينى الحساب,X X X
اذهب لقائمة تعديل البيانات,X X X X
ممكن اراجع الاوردر معاك,X X X X
صوص الجبنة,ItemName ItemName
ابي ضيف الوجبىة العائلية,X X ItemName ItemName
ابي اللغة العربية,X X Language
بدي شوف منيو وجبات الاطفال بماكدونالدز اذا بتريد,X X X X X X X X
هل بامكاني حذف وجبة التشيكن ستربس,X X X ItemName ItemName ItemName
خاطر ب بالى ابص على اكلى المتميز,X X X X X X X
وريني قائمة البيتزا,X X MenuName
بدياك تراجعلي عالطلبات بليز,X X X X
فيك تلغيلي وجبة الغداء من الوجبات المحددة من قبل,X X ItemName ItemName X X X X X
اعرضلي طعامي المفضل,X X X
لو سمحت لو عايزة اغير نمرتي للنمرة دي 05049144444 ازاي,X X X X X X X X phone X
ممكن اعمل تعديل في عنوان بيتي,X X X X X X
ابى اغير رقم تليفوني,X X X X
ابغا اشوف حسابى من فضلك,X X X X X
عايزة ابدل عنوان البيت,X X X X
عايزة طبق جانبي من البطاطس المحمرة معاها شيدر صوص,X X X X ItemName ItemName Include Topping_Include Topping_Include
بدي اتطلع عالأكل يلي طلبتوا من قبل,X X X X X X X
ممكن الحساب,X X
كده الحساب كام من فضلك,X X X X X
داير اطلب نفر مثلوثة كبسة لحم,X X itemnumber ItemName ItemName ItemName
عم روح عالخطوة التالية,X X X X
هاتلي الفاتورة,X X
بدياك تراجعلي عالأوردر بليز,X X X X
بدي 3 ستيك هاوس برجر,X itemnumber PredefinedMealName PredefinedMealName PredefinedMealName
من فضلك 3 شاورما ساندوتش و شيل التومية,X X itemnumber ItemName ItemName X Exclude Topping_Exclude
اعرضلي الاوردر من الاول لو سمحت,X X X X X X
بدى منك تفرجينى منيو زاد الخير,X X X X X X
ممكن اعيد اضافة رقم الموبايل,X X X X X
بغيت الحساب,X X
مادابيك واحدة الفريدو باستا بالمشروم صوص,X itemnumber ItemName ItemName Topping_Exclude Topping_Exclude
امسح عنوان البيت,X X X
عايزة منيو السلطات اليومي بتاعكوا,X X X X X
زودلي وجبة جراند تشيكن مع الاوردر,X PredefinedMealName PredefinedMealName PredefinedMealName X X
ممكن تعطيني المنيو,X X X
هاخد 3 بيتزا سوبر سوبريم مع بطاطس ويدجز,X itemnumber ItemName ItemName ItemName Include Topping_Include Topping_Include
مساء النور,X X
احضرلي طبق مكرونة مع الصوص الابيض,X ItemName ItemName Include Topping_Include Topping_Include
فيني ارجع للقائمة الرئيسية,X X X X
بدي غير رقم الجوال تبعي 01002013337,X X X X X phone
بدي اتحدث مع حدا من خدمة العملاء اذا بتريد,X X X X X X X X X
عاوز اشوف الاوردرات القديمة,X X X X
كان بدي الغي عنوان البيت,X X X X X
من بعد اذنك شوفلي الاوردر فين دلوقتي,X X X X X X X
شو الأكل اليوم,X X X
ابي اطلب 3 سندوتشات فراخ بانيه,X X itemnumber ItemName ItemName ItemName
هل يمكنني الرجوع الى قائمة الطعام,X X X X X X
كنت حابب ضيف الوجبة العائلية,X X X ItemName ItemName
افتحلي منيو الاطباق الرئيسية,X X MenuName MenuName
ما ابي مايونيز,Exclude Exclude Topping_Exclude
عندي استفسار لو سمحت,X X X X
عايز وجبة الجراند تشيكن اكسترا تشيز صوص,X PredefinedMealName PredefinedMealName PredefinedMealName Include Topping_Include Topping_Include
احط عنواني فين,X X X
عايز اشوف الاكل الي في المنيو لو سمحت,X X X X X X X X
شلون بضيف عنوان جديد,X X X X
اذا فيك تغيرلي اللغة فرنسي,X X X X Language
بدي غير رقم السليلار,X X X X
بدك تروح للخطوة التالية,X X X X
عايزة القائمة السابقة,X X X
ممكن تبعتلي قائمة السلطات,X X X MenuName
بسلامة,X
هلأ فيني شوف الاوردرات السابقة,X X X X X
كنت عايز اطلب وجبة تشيكن ماك,X X X PredefinedMealName PredefinedMealName PredefinedMealName
ابي اتواصل مع بني أدم,X X X X X
بدي اصابع الجبن,X ItemName ItemName
اقدر اضيف هاتف ثابت ولا لازم جوال,X X X X X X X
اذا فيك اعطني الفاتورة,X X X X
يا خيي ابي سجل عنوان البيت,X X X X X X
اقدر احدث العنوان,X X X
فيك ترجعني للمنيو الرئيسي,X X X X
خليني ادخل العنوان,X X X
عم تابع الاوردر لوين وصل,X X X X X
الى اللقاء,X X
ممكن تراجع الاوردر,X X X
لو سمحت ينفع اضيف رقم ثابت,X X X X X X
ابي سجل عنوان البيت حجي,X X X X X
3 ليتل تيستي كبار اكسترا صوص,itemnumber PredefinedMealName PredefinedMealName ItemSize Include Topping_Include
ارغب في حل مشكلة ما,X X X X X
عايزة اغير عنواني,X X X
بدي عيد تسجيل رقم موبايلي,X X X X X
عايز اغير رقم التليفون,X X X X
عايز الوجبة العائلية,X ItemName ItemName
بدي حاسب بليز,X X X
انا عايزة الفاتورة لو سمحت,X X X X X
عايز اسجل عنوان بيتي,X X X X
3 فول صغير و 2 فول كبير,itemnumber ItemName ItemSize X X X X
عايز اضيف منطقة السكن,X X X X
داير اشوف الكارت,X X X
عايز اشوف منيو المطعم لو سمحت,X X X X X X
عندي شي سؤال,X X X
ما بدي بصل,Exclude Exclude Topping_Exclude
كنت عايز الغي العنوان,X X X X
354565454 ضع هذا الرقم كرقم اةلى لي,phone X X X X X X
دوز,X
اعرض القائمة المفضلة,X X X
لو سمحت هاطلب وجبة فراخ مشوية,X X X ItemName ItemName ItemName
ابي شي,X X
كان بدي غير لغة التواصل,X X X X X
فيك تراجع الاوردر بليز,X X X X
منغير الثاني,Exclude X
ارغب في حذف العنوان,X X X X
عايزة اللغة الانجليزية لو سمحت,X X Language X X
ايه الخطوة الي بعد كدا,X X X X X
محتاجك تغيرلى رقم الهاتف اارقم 01256369,X X X X X phone
ايه الشوربة النهاردة,X MenuName X
فرجيني تمن الاكل يلي طلبتوا,X X X X X
الاوردر لساتو ما وصل,X X X X
عايز 2 بطاطس كبير,X itemnumber ItemName ItemSize
اريدك تتابع معاي تفاصيل طلبي,X X X X X
كيف بسجل العنوان,X X X
ابي شوف الاوردرات يلي طلبتها من قبل,X X X X X X X
فاضل على الاوردر 52015 قد ايه,X X X OrderNumber X X
0153869254 هذا هو رقمى الجديد,phone X X X X
عطيني المنيو من فضلك,X X X X
فيني انتهي من الاوردر,X X X X
فيك تغيرلي لغة التواصل اذا بدك,X X X X X X
فيني غير بياناتي,X X X
احتاج ان اطلع على القائمة المفضلة,X X X X X X
لو تسمح ممكن تغيرلي النمرة القديمة اللي عندكوا للرقم ده 0549140513,X X X X X X X X X X phone
عندي محل اقامة اخر,X X X X
ابي شوف الاوردرات المفضلة تبعي,X X X X X
عايزة اعرف الشيك كام ظ,X X X X X
صار بدي احذف الماك دينار,X X X ItemName ItemName
من فضلك اعطني الفاتور,X X X X
هادي وجبة الليتل تيستي بدي الغيها,X ItemName ItemName ItemName X X
اعرضلي منيو البيتزا في بيتزا هت,X X X X X X
ممكن توريني كل الاوردر,X X X X
فيني شوف منيو الاطباق الرئيسية في اريجاتو بليز,X X X X X X X X
اذا بدك توصلني بحدا من ممثلين خدمة العملا,X X X X X X X X
انا فى حاجه لمراجعه الاوردرات معكم,X X X X X X
حابب اخد 3 باستا,X X itemnumber ItemName
عا السلامة,X X
بدياك تفرجينى الحساب,X X X
الرلاا عللاى فيرستي5ة,X X X
عايز اطلب حاجة من فضلك,X X X X X
بدي اتواصل مع حدا,X X X X
ممكن اشوف منيو المشروبات في ستاربكس,X X X X X X
هاتلي المنيو من فضلك,X X X X
رفيعة,X
بلكي غير اللغة,X X X
عايز ساندوتش برجر,X ItemName ItemName
ممكن اغير العنوان,X X X
هل يمكنني استرجاع الطلبات السابقة,X X X X X
ممكن المنيو,X X
سوف اضيف رقم هاتفي الجديد,X X X X X
محتاج طبق سلطة بنجر معاه بطاطس محمرة,X X ItemName ItemName Include Topping_Include Topping_Include
حابب اسأل عا شي,X X X X
امتى راح يجي الاكل,X X X X
فيني اعطيك محل الاقامة,X X X X
راح اطلب 2 فرخة مشوية,X X itemnumber ItemName ItemName
كنت عايز اسجل عنوان منزلي,X X X X X
ابي شوف الكارت حقي,X X X X
باقي قد ايه وقت تا يوصل الاوردر,X X X X X X X
فيني اذهب للمرحلة التالية,X X X X
فيك تفتحلي المنيو,X X X
ابى اعرف الطلبات برقم 203060 لهلا ليش ما وصلت,X X X X OrderNumber X X X X
حابب اسأل عن شي,X X X X
اعرض لي الاوردرز الي طلبتها قبل كدا,X X X X X X X
بلكي اعدل العنوان المسجل,X X X X
عايز اسأل عن حاجة,X X X X
اقدر اشوف الكارت بتاعي,X X X X
اعرضلي كدا كل الطلبات,X X X X
وين الأوردر تبعي,X X X
اريد اضيف عنوان مختلف,X X X X
ممكن ابدل رقم التليفون بالرقم الجديد بتاعى 01536928477,X X X X X X X phone
انا عايز اغير اللغة,X X X X
ابي تشيكن بانيه ساندوتش بيق سايز,X ItemName ItemName ItemName ItemSize ItemSize
عايز اعرف ايه الاكل المتاح,X X X X X
كان بدي اسأل عن شي,X X X X X
بدي شوف الطلبات يلي طلبتها الحين,X X X X X X
اعرض لي الاكل الي طلبته قبل كدا,X X X X X X X
خليني سجل العنوان,X X X
عايز اغير عنواني,X X X
ابي غير رقم الجوال حجي,X X X X X
عاوز اشوف الطلبات القديمة,X X X X
حابب اتحدث باللغة العربية,X X X Language
غير لى رقم جوالى للرقم 2051485693,X X X X X phone
عايزة اروح على القائمة الرئيسية,X X X X X
ابي 3 صمونات دياي دوارية,X itemnumber ItemName ItemName ItemSize
شحال الفاتورة,X X
فيك تفتح لي قائمة الطعام,X X X X X
عايز اشوف منيو كينج بيتزا,X X X X X
راجع الاوردر لو سمحت,X X X X
ابي الحجم الصغير,X X ItemSize
ودى أعرف شغلات معينه,X X X X
شو بدي اعمل,X X X
ايش لونج,X X
كنت عايزة الغي عنواني,X X X X
ماذا بعد حين,X X X
بدي اطلع عالمنيو,X X X
الثاني عشر,X X
فيني انتقل للخطوة التالية,X X X X
بلكي شوف القائمة المفضلة تبعي,X X X X X
عايز استفسر,X X
عايزة اعرف كام الحساب,X X X X
ممكن اغير لغة المحادثة,X X X X
ممكن اشوف الطعام المفضل,X X X X
بدى اغير مكان السكن المسجل لديكم,X X X X X X
فيك تخبرني قديش باقي من الوقت حتى يوصل الأكل,X X X X X X X X X
شو الأكل يلي موجود,X X X X
فيني زودكوا بعنوان اخر,X X X X
ابغا مطفي السمك,X ItemName ItemName
كنت عايز اشوف طلبي المفضل,X X X X X
كام الفاتورة,X X
هدى رقم موبايل جديد 01587932628,X X X X phone
بعد اذنك عايز اتابع الاوردر,X X X X X
خنشوف الاوردر,X X
ممكن تديني الفاتورة,X X X
الاوردر بيخلص في قد ايه,X X X X X
ممكن اشوف قائمة الطعام تاني,X X X X X
فيني ارجع للقائمة الرئيسية بليز,X X X X X
عندي محل اقامة اخر,X X X X
فيني اختار اللغة الانجليزية بليز,X X X Language X
اريد تحويل اللغة الى الانجليزية,X X X X Language
اريد استبدال عنواني,X X X
شو الاكل يلي عندكن,X X X X
امتى راح يوصل الاوردر,X X X X
بغيت اضيف رقم جوال ثاني,X X X X X
بدي سوي الحساب,X X X
عايز اسجل عنوان المنزل,X X X X
فيه حاجة عايز استفسر عنها,X X X X X
كيفاش عدل رقم الموبايل,X X X X
عايز اكلم حد كبير,X X X X
عايز اضيف عنوان البيت,X X X X
بدي اعرف المبلغ المطلوب,X X X X
هاتلي وجبة التشيكن ماك و زودلي تيستي صوص,X X PredefinedMealName PredefinedMealName X Include Topping_Include Topping_Include
اعرضلي الطلبات اللي ضفتها,X X X X
سادة,X
غيرلى اللغه منفضلك,X X X
راح فرجيكم عنواني,X X X
احتاج الى تبديل رقم الموبايل,X X X X X
ابغى حبتين دجاج مع مسحب,X itemnumber ItemName Include Topping_Include
اديني التالت,Include X
اريد اغير اللغة للعربيه,X X X Language
كنت عايزة الاكل المفضل بتاعي,X X X X X
اعرضلي وجبتي المفضلة,X X X
عايز احاسب لو سمحت,X X X X
اقدر ارجع لقائمة تغيير البيانات,X X X X X
بغيت اغير رقم جوالي,X X X X
الأكل هيوصل امتى,X X X
ممكن ترجعني للقائمة الرئيسية,X X X X
عطيني قائمة الطعام المفضل لدي,X X X X X
ودى فى تشيكن برجر مع الصوص الابيض,X X ItemName ItemName Include Topping_Include Topping_Include
راح اخذ 2 بيتزا وسط مع رانش صوص,X X itemnumber ItemName ItemSize Include Topping_Include Topping_Include
شلون بغير اللغة الى العربية,X X X X Language
رايد 2 حواوشي لحم و ضيف صوص الجبن,X itemnumber ItemName ItemName X Include Topping_Include Topping_Include
ابغى احذف الجرند تشيكن,X X ItemName ItemName
عايزة حجمها وسط,X X ItemSize
فيك تفرجيني ايش موجود بالمشروبات الساخنة,X X X X MenuName MenuName
ابي اسأل عا شي بخصوص الاوردر حقي,X X X X X X X
عايز امسح وجبه الزينجر سوبريم كومبو لوسمحت,X X X ItemName ItemName ItemName X
لك امسح هاد العنوان,X X X X
بونجور,X
متغيرلى اللغه,X X
هاخد 3 سلطة خضرا كبيرة,X itemnumber ItemName ItemName ItemSize
ابا شوف الكارت حجي,X X X X
نهدر باللغة العربية,X Language Language
طالب من الساعه ١١ من جان وانتهى الوقت ويقولون طلبك يطبخ ساعه ونص يطبخ,X X X X X X X X X X X X X X
كنت عايز امسح عنواني,X X X X
قداي بياخد الأوردر,X X X
هدي رقم الموبايل,X X X
هييجي في قد ايه,X X X X
اريد الذهاب للخطوة التالية,X X X X
عايز 3 بيتزا بيبروني حجم متوسط,X itemnumber ItemName ItemName X ItemSize
فيني امسح العنوان,X X X
ممكن تديني الحساب,X X X
بدى ياك تظهرلى قائمه الطعام لكارلوس,X X X X X X
لو سمحت اريد اغير رقمي,X X X X X
عايز اشوف الاوردرات القديمة,X X X X
عايز القائمة السابقة,X X X
فيك تسويلي تعديل للعنوان,X X X X
عايزة الاوردرات السابقة,X X X
عايز اللغة الانجليزية لو سمحت,X X Language X X
بدي عيد تسجيل رقم هاتفي,X X X X X
عاوز اشوف منيو المشروبات بستاربكس,X X X X X
بدي راجع على الأوردر يلي طلبتوا اذا بتريد,X X X X X X X X
ابا مساعدة,X X
ما عدت ابغى الشيش طاووق,X X X ItemName ItemName
فيك تفرجيني قائمة الطعام تبعكن,X X X X X
بدي اسأل شي سؤال,X X X X
صارلي زمان ناطرة الاوردر,X X X X
عايز ابدل رقم موبايلي,X X X X
عايزة احدد عنوان بيتي,X X X X
ابغى اشوف قائمة الطعام,X X X X
فيني الغي العنوان,X X X
بدي مساعدة بليز,X X X
بدي الغي العنوان تبعي اذا بتريد,X X X X X X
خبرني كيف بعدل بياناتي,X X X X
هيدا عنواني الجديد,X X X
شو يلي موجود بمنيو المعجنات,X X X X MenuName
فيك تعرضلي منيو المشاوي,X X X MenuName
من فضلك بدي اجابة,X X X X
عايز اعمل تعديل في عنواني,X X X X X
فيني ضيف عنوان البيت,X X X X
ممكن اتواصل مع حد من خدمة العملاء,X X X X X X X
ساندوتش بيف برجر كيزر و معاه كاتشب,ItemName ItemName ItemName ItemSize X Include Topping_Include
ابعتلي الطلبات المسجلة من فضلك,X X X X X
وايه تانى,X X
لا تواخزني بدي غير رقمي,X X X X X
وش سوي الخطوة القادمة,X X X X
هستلم الاوردر في خلال قد ايه,X X X X X X
هيوصلني الأكل امتى,X X X
ابي استفسر عن شي,X X X X
الخطوة الي بعد كدا,X X X X
عايزة اتابع طلب 54156,X X X OrderNumber
عايزة اغير رقم تليفوني,X X X X
4777564 هاذا هو رقم هاتفى الجوال الاساسي,phone X X X X X X
عايز 2 بيتزا مارجريتا حجم صغير,X itemnumber ItemName ItemName X ItemSize
رقم 8,X X
ارغب في تعديل العنوان,X X X X
عايز اغير رقم الموبايل 01159697214,X X X X phone
ممكن اتواصل معاكم برقم تاني,X X X X X
وجبة سوبر ستار,ItemName ItemName ItemName
هاخد عصير زبادي بالفراولة,X ItemName ItemName ItemName
عسلامه,X
ابيها طوالية,X X
طبق كبير,X ItemSize
ابغى غير رقم الموبايل حجي,X X X X X
خليني اذهب الى القائمة الرئيسية,X X X X X
ممكن منيو وجبات الأطفال في ماكدونالدز,X X X X X X
بلكي احذف العنوان تبعي,X X X X
هلأ بدي احذف العنوان اذا بتريد,X X X X X X
عايزة 2 باستا مع صوص الماشروم,X itemnumber ItemName Include Topping_Include Topping_Include
ابي اسألك بخصوص تسجيل العنوان,X X X X X
احذف هيدا العنوان,X X X
وريني طلبي المفضل,X X X
ممكن اضيف وجبة البيج ماك,X X ItemName ItemName ItemName
من فضلك فرجينى قائمه المفضله لدى,X X X X X X
منفضلك بدى اتطلع على منيوهات كنتاكى,X X X X X X
فيك تطلبلي وجبة الماك دينار,X X ItemName ItemName ItemName
عايز اشوف الاوردرات الي قبل كدا,X X X X X X
ابي ارجع للقائمة السابقة,X X X X
يعطيك العافية ابغى اضيف رقم جوال ثاني المسجل عندك مغلق,X X X X X X X X X X
الاثناش,X
زود وجبة دويتو عالأوردر,X PredefinedMealName PredefinedMealName X
بس بدي ضيف عنوان البيت,X X X X X
صار لدي منطقة سكن مختلفة,X X X X X
ساطلب طبق سلطة خضرة كبير مضافآ عليها زيت الزيتون,X X ItemName ItemName ItemSize Include X Topping_Include Topping_Include
عايز اغير لغة التواصل,X X X X
ايه المنيو النهاردة,X X X
ابعتلي توتال الطلب بتاعي,X X X X
ارغب في تغيير عنوان البيت,X X X X X
اقدر اشوف الاوردرات المسجلة,X X X X
ممكن توريني القائمة الرئيسية,X X X X
من فضلك محتاجة مساعدة,X X X X
بلكي شوف الكارت تبعي,X X X X
